name                                        ,difficulty ,verifier          ,creators                         ,location                  ,gpStyle                             ,difficultySource             ,length                       ,verifDate            ,videoLink
Tower of Qwerty Uiop                        ,     13.09 ,jeang4me          ,Purple_BaconHair                 ,Domain 1 (CTT)            ,"Purism, Technical"                 ,"Raw Difficulty, Length"     ,Long (20+ min.)              ,"December 31, 2024"  ,https://www.youtube.com/embed/v5f32f4Poks
Citadel of Infinite Void                    ,     13.06 ,skitsuna          ,Various Creators                 ,The Eternal Abyss (LFPoM) ,Mixed                               ,"Length, Punishment"         ,Ridiculously Long (60+ min.) ,"October 14, 2023"   ,https://www.youtube.com/embed/Mtcliw0KJ4w
Tower of Spiralling Fates                   ,     13.04 ,MonsterIsABlock   ,ciel_azulsky                     ,The Eternal Abyss (LFPoM) ,"Purism, Technical"                 ,Length                       ,Long (20+ min.)              ,"October 26, 2024"   ,https://www.youtube.com/embed/Wc3IJivXjfE
Tower of Sudden Death                       ,     13.00 ,llyaria           ,"WaterMakeer, CosmikChaos"       ,Domain 1 (CTT)            ,Camera Control                      ,"Raw Difficulty, Punishment" ,Very Short (5+ min.)         ,"January 3, 2025"    ,https://www.youtube.com/embed/GEUZ8UeB9VI
Citadel of The Eternal Calamity             ,     12.86 ,Marqulitt         ,ZePlayerSlayer                   ,The Eternal Abyss         ,Mixed                               ,"Length, Punishment"         ,Ridiculously Long (60+ min.) ,"July 13, 2024"      ,https://www.youtube.com/embed/cZefNeSBC40
Tower of Blind Fate                         ,     12.80 ,skitsuna          ,Nosav                            ,The Eternal Abyss (LFPoM) ,"Linear, Purism"                    ,"Length, Punishment"         ,Long (20+ min.)              ,"August 13, 2024"    ,https://www.youtube.com/embed/uALJaitSYNs
Tower of Dissociative Force                 ,     12.75 ,exexic            ,sladoledenavafla                 ,N/A                       ,"Client Objects, Linear, Technical" ,"Raw Difficulty, Length"     ,Very Long (30+ min.)         ,"May 13, 2024"       ,https://www.youtube.com/embed/7l45R-XXwtE
Ikea Tower                                  ,     12.70 ,MonsterIsABlock   ,Higherthanblox                   ,The Eternal Abyss         ,"Purism, Linear"                    ,Raw Difficulty               ,Short (10+ min.)             ,"June 7, 2024"       ,https://www.youtube.com/embed/fpJmckiIzFw
Tower of Jaded Compromise                   ,     12.58 ,Truespirit        ,"glizzygladiattorrr, Incindius"  ,N/A                       ,"Client Objects, Technical"         ,Raw Difficulty               ,Moderate (15+ min.)          ,"July 14, 2024"      ,https://www.youtube.com/embed/Qvnn5IDNJRQ
Tower of Eternal Void                       ,     12.55 ,skitsuna          ,Various Creators                 ,The Eternal Abyss (LFPoM) ,Mixed                               ,"Length, Punishment"         ,Extremely Long (45+ min.)    ,"July 25, 2022"      ,https://www.youtube.com/embed/WaYp7yKc1Cs
Tower of Thje Floor                         ,     12.50 ,lindsayfairlamb   ,"tntyxz, Yellow78dog"            ,N/A                       ,"Cam Control, Purism"               ,"Raw Difficulty, Punishment" ,Very Short (5+ min.)         ,"August 5, 2024"     ,https://www.youtube.com/embed/xTjwovGVEe4
Tower of Weird Core                         ,     12.48 ,llyaria           ,"ScorpioexLOLez, empyrae"        ,Domain 1 (CTT)            ,"Camera Control, Purism"            ,Raw Difficulty               ,Very Short (5+ min.)         ,"January 8, 2025"    ,https://www.youtube.com/embed/EvUPqYkNPG4
Tower of Lavender Lustre                    ,     12.46 ,MyntExists        ,"zkv07, ScorpioexLOLez"          ,Domain 1 (CTT)            ,Client Objects                      ,Raw Difficulty               ,Moderate (15+ min.)          ,"December 30, 2024"  ,https://www.youtube.com/embed/AwaFPCd-6Sk
Tower of Spiritual Rise                     ,     12.44 ,a6iq1             ,"FusionZ_9, Tylerlfc12"          ,The Eternal Abyss         ,"Purism, Technical"                 ,Raw Difficulty               ,Moderate (15+ min.)          ,"November 20, 2024"  ,https://www.youtube.com/embed/YwaDNUaAuCk
Tower of Prismal Radiance                   ,     12.42 ,Truespirit        ,"glizzygladiattorrr, liu06"      ,N/A                       ,Client Objects                      ,"Raw Difficulty, Punishment" ,Short (10+ min.)             ,"August 10, 2024"    ,https://www.youtube.com/embed/d5S1eylAsyw
Tower of Lucas Penteado                     ,     12.40 ,tinenderman       ,"1fren6, liu06"                  ,Scope 1 (CSCD)            ,Technical                           ,Raw Difficulty               ,Short (10+ min.)             ,"November 26, 2023"  ,https://www.youtube.com/embed/wwue1vcDjjE
Tower of Flagrant Aggravation               ,     12.37 ,exexic            ,sokol50                          ,Domain 1 (CTT)            ,Technical                           ,"Raw Difficulty, Punishment" ,Short (10+ min.)             ,"January 19, 2024"   ,https://www.youtube.com/embed/f68RSZgklJI
Tower of The Roof's Pique                   ,     12.34 ,BoomSasok         ,xxDuzeRxx                        ,The Eternal Abyss (LFPoM) ,"Low-Roof, Purism,Technical"        ,"Raw Difficulty, Punishment" ,Very Short (5+ min.)         ,"August 4, 2022"     ,https://www.youtube.com/embed/9WkxSvUb10I
Steeple of Nilly Bob                        ,     12.32 ,Gehadimad         ,bLockerman666                    ,The Eternal Abyss         ,"Purism, Technical, Jank"           ,Raw Difficulty               ,Extremely Short (<5 min.)    ,"October 5, 2024"    ,https://www.youtube.com/embed/bL5rc3HC9y8
Nvidia Tower                                ,     12.30 ,tinenderman       ,brainstqrminq                    ,N/A                       ,"Client Objects, Technical"         ,Raw Difficulty               ,Very Short (5+ min.)         ,"August 17, 2024"    ,https://www.youtube.com/embed/7mUTCFuM9-w
Tower of Quite Devious                      ,     12.28 ,ZePlayerSlayer    ,tojma07                          ,The Eternal Abyss         ,"Technical, Purism"                 ,"Raw Difficulty, Punishment" ,Moderate (15+ min.)          ,"July 21, 2024"      ,https://www.youtube.com/embed/oRH5k8N8Nek
Tower of Vague Luminescence                 ,     12.25 ,Truespirit        ,glizzygladiattorrr               ,N/A                       ,Camera Control                      ,Raw Difficulty               ,Very Short (5+ min.)         ,"October 14, 2024"   ,https://www.youtube.com/embed/kHK3fSq9apg
Tower of The Sky's The Limit                ,     12.23 ,bop1783           ,1I1LaSeR1I1                      ,The Eternal Abyss         ,"Client Objects, Technical"         ,Raw Difficulty               ,Very Short (5+ min.)         ,"July 17, 2024"      ,https://www.youtube.com/embed/s0Bw9LCLZKg
Tower of Spatial Awareness                  ,     12.19 ,Z_Exzer           ,Sceptile19                       ,Domain 1 (CTT)            ,Purism                              ,Raw Difficulty               ,Moderate (15+ min.)          ,"May 12, 2024"       ,https://www.youtube.com/embed/7xPD_M_r0Qc
Tower of Water Melon                        ,     12.17 ,tinenderman       ,"Nosav, burgchin"                ,The Eternal Abyss (LFPoM) ,"Client Objects, Technical"         ,"Raw Difficulty, Punishment" ,Short (10+ min.)             ,"September 27, 2022" ,https://www.youtube.com/embed/ZPnxytN03X0
Steeple of Daze                             ,     12.15 ,ChubbyBubbers     ,Nosav                            ,The Eternal Abyss         ,"Purism, Linear"                    ,"Raw Difficulty, Punishment" ,Moderate (15+ min.)          ,"November 10, 2024"  ,https://www.youtube.com/embed/XXeFeaFcmWs
Tower of Hollow Obstacles                   ,     12.12 ,Gehadimad         ,D_yni                            ,N/A                       ,"Purism, Technical, Jank"           ,Raw Difficulty               ,Short (10+ min.)             ,"July 27, 2024"      ,https://www.youtube.com/embed/Fkv0rmQfI2Q
Tower of Futile Perusal                     ,     12.10 ,Gehadimad         ,"AddisonJudah, 60SecondsUntil"   ,Scope 2 (CSCD)            ,Linear/Camera Control               ,Raw Difficulty               ,Short (10+ min.)             ,"January 9, 2024"    ,https://www.youtube.com/embed/Ii3rXLM-rh0
Tower of The Ice Wall                       ,     12.08 ,Conraderien       ,"EpicFredMan, Flamyne"           ,N/A                       ,Classic                             ,Raw Difficulty               ,Short (10+ min.)             ,"August 15, 2024"    ,https://www.youtube.com/embed/Wn1XyKlkPIo
Tower of Truss Anarchy                      ,     12.07 ,exexic            ,"juk_n, PensiveGaming"           ,N/A                       ,"Purism, Technical"                 ,Raw Difficulty               ,Short (10+ min.)             ,"January 10, 2024"   ,https://www.youtube.com/embed/Wh8v9ACYlao
Steeple of Cheese Burger                    ,     12.06 ,MonsterIsABlock   ,"Nosav, Torchic000"              ,The Eternal Abyss (LFPoM) ,"Purism, Technical, Jank"           ,Raw Difficulty               ,Extremely Short (<5 min.)    ,"March 13, 2024"     ,https://www.youtube.com/embed/tOqPJ6Z-McY
Doomsday Tower                              ,     12.05 ,skitsuna          ,IceNsalt                         ,N/A                       ,"Memory, Client Objects"            ,Raw Difficulty               ,Very Short (5+ min.)         ,"January 25, 2023"   ,https://www.youtube.com/embed/Dx84I9ChrcI
Tower of The Bussin                         ,     12.04 ,Gehadimad         ,"Incindius, glizzygladiattorrr"  ,N/A                       ,Mixed                               ,"Raw Difficulty, Punishment" ,Short (10+ min.)             ,"March 29, 2024"     ,https://www.youtube.com/embed/WaN6UNYGAzM
Tower of Timed Button Fury                  ,     12.02 ,DD3985666         ,Ecotism                          ,N/A                       ,"Purism, Speedrun, Technical"       ,Pacing                       ,Extremely Short (<5 min.)    ,"November 4, 2024"   ,https://www.youtube.com/embed/8sn9b0nXHkU
Tower of Malefic Nuisances                  ,     12.01 ,kkdpracticeacc    ,WaterMakeer                      ,The Eternal Abyss         ,Linear                              ,Raw Difficulty               ,Very Short (5+ min.)         ,"February 8, 2024"   ,https://www.youtube.com/embed/nyJ8wCp6_3g
Tower of Elysian Crossings                  ,     12.00 ,synfIower         ,Various Creators                 ,Domain 1 (CTT)            ,Client Objects                      ,"Raw Difficulty, Punishment" ,Long (20+ min.)              ,"September 29, 2024" ,https://www.youtube.com/embed/Vqb9KchuKco
Tower of Thje Wall                          ,     11.99 ,theobbyray8       ,Lawnslayer                       ,The Eternal Abyss         ,Purism                              ,Raw Difficulty               ,Very Short (5+ min.)         ,"May 26, 2023"       ,https://www.youtube.com/embed/GyQ_FXS1rM8
Tower of Devious Purism                     ,     11.97 ,Renzovanhooren    ,FusionZ_9                        ,N/A                       ,"Purism, Linear"                    ,Raw Difficulty               ,Moderate (15+ min.)          ,"October 6, 2024"    ,https://www.youtube.com/embed/H0xhjLTU8nY
Tower of Prolonged Condemnation             ,     11.95 ,MythIX            ,brqinstqrminq                    ,N/A                       ,"Consistency, Linear"               ,"Length, Punishment"         ,Very Long (30+ min.)         ,"July 23, 2024"      ,https://www.youtube.com/embed/AHJAlKCq6aA
Tower of Jabberwock Jagger                  ,     11.92 ,MyntExists        ,"robloxroblox556, N0tMatu"       ,Domain 1 (CTT)            ,Client Objects                      ,Raw Difficulty               ,Short (10+ min.)             ,"November 3, 2023"   ,https://www.youtube.com/embed/rcLGUDrT0SU
Tower of Cruel Punishment                   ,     11.90 ,myfrata           ,1fren6                           ,The Eternal Abyss (LFPoM) ,Mixed                               ,"Length, Punishment"         ,Extremely Long (45+ min.)    ,"July 8, 2021"       ,https://www.youtube.com/embed/ifPyE5-cpW8
Tower of Incessant Vexation                 ,     11.88 ,llyaria           ,cybernetixzs                     ,N/A                       ,"Purism, Linear"                    ,Raw Difficulty               ,Very Short (5+ min.)         ,"May 27, 2024"       ,https://www.youtube.com/embed/eA3D0akuYgs
Tower of Meaningfulness                     ,     11.85 ,erykio            ,SwetZ8                           ,N/A                       ,Purism                              ,Raw Difficulty               ,Short (10+ min.)             ,"October 28, 2024"   ,https://www.youtube.com/embed/QNL4llaO2j0
Steeple of Pole Pole Pole                   ,     11.82 ,bop1783           ,Nosav                            ,N/A                       ,"Purism, Linear"                    ,Raw Difficulty               ,Extremely Short (<5 min.)    ,"December 13, 2024"  ,https://www.youtube.com/embed/pVAOONzmQ_c
Tower of Vacant Hindrances                  ,     11.79 ,BoomSasok         ,Torchic000                       ,The Eternal Abyss (LFPoM) ,"Purism, Linear"                    ,Raw Difficulty               ,Extremely Short (<5 min.)    ,"September 8, 2021"  ,https://www.youtube.com/embed/CeAymZ_07dM
Tower of Vertiginous Expeditions            ,     11.76 ,Exzer             ,Fokil4                           ,Chasm 1 (CoD)             ,"Purism, Linear"                    ,"Length, Punishment"         ,Long (20+ min.)              ,"August 10, 2024"    ,https://www.youtube.com/embed/Jn2OeK78M-0
Tower of Elongated Runs                     ,     11.75 ,xavirus           ,ciel_azulsky                     ,The Eternal Abyss (LFPoM) ,"Consistency, Linear"               ,"Length, Punishment"         ,Very Long (30+ min.)         ,"August 29, 2021"    ,https://www.youtube.com/embed/nkgQsHnL7vw
Tower of Virulent Sojourn                   ,     11.69 ,MythIX            ,indqx                            ,Domain 1 (CTT)            ,Client Objects/Camera Control       ,"Raw Difficulty, Punishment" ,Long (20+ min.)              ,"June 2, 2023"       ,https://www.youtube.com/embed/sHM_SWg2O5sIX
Tower of Corner Kerfuffle                   ,     11.68 ,MyntExists        ,feixfii                          ,N/A                       ,"Client Objects, Technical"         ,Raw Difficulty               ,Extremely Short (<5 min.)    ,"May 23, 2024"       ,https://www.youtube.com/embed/cIJnRE4XLM8
Tower of Exodus Obscurity                   ,     11.66 ,ZachTheTrxhard    ,"Indqx, Livingonmycouch"         ,N/A                       ,"Client Objects, Technical"         ,Raw Difficulty               ,Extremely Short (<5 min.)    ,"January 31, 2023"   ,https://www.youtube.com/embed/-Flo6-armks
Tower of Shunning Excursion                 ,     11.65 ,Scorionix         ,Various Creators                 ,The Eternal Abyss (LFPoM) ,"Client Objects, Linear"            ,"Length, Punishment"         ,Very Long (30+ min.)         ,"May 27, 2022"       ,https://www.youtube.com/embed/03xZ1983eus
Tower of Explore My World                   ,     11.63 ,FD0XY             ,Fawami11                         ,Domain 1 (CTT)            ,Client Objects                      ,"Raw Difficulty, Punishment" ,Long (20+ min.)              ,"November 5, 2024"   ,https://www.youtube.com/embed/FM4SdDdds0Y
Tower of Heaven's Gate                      ,     11.62 ,lucy_naaaa        ,Various Creators                 ,Domain 1 (CTT)            ,"Client Objects, Technical"         ,Raw Difficulty               ,Moderate (15+ min.)          ,"October 12, 2023"   ,https://www.youtube.com/embed/_yDgmogMzxo
Tower of Terse Persecution                  ,     11.61 ,itsmycrafted      ,Macloux                          ,N/A                       ,Purism                              ,Raw Difficulty               ,Very Short (5+ min.)         ,"August 10, 2022"    ,https://www.youtube.com/embed/vmKetDkveig
Tower of Tarapop Two                        ,     11.60 ,roblofil777       ,"ilyashick, sokol50"             ,N/A                       ,Purism                              ,Raw Difficulty               ,Short (10+ min.)             ,"October 30, 2024"   ,https://www.youtube.com/embed/2zL80AR0Big
Tower of Pulsating Ambition                 ,     11.58 ,Gregre11          ,cuddlyno321                      ,Scope 1 (CSCD)            ,"Client Objects, Linear"            ,Raw Difficulty               ,Long (20+ min.)              ,"August 19, 2022"    ,https://www.youtube.com/embed/OTmdzn0F7aI
Tower of Champion's Road                    ,     11.57 ,BoomSasok         ,Various Creators                 ,The Eternal Abyss (LFPoM) ,"Purism, Technical"                 ,Raw Difficulty               ,Short (10+ min.)             ,"March 27, 2021"     ,https://www.youtube.com/embed/SrMfwPw3Qn8
Tower of Play To Win                        ,     11.55 ,Damjom            ,Cronku                           ,Domain 1 (CTT)            ,"Jank, Technical"                   ,"Raw Difficulty, Punishment" ,Long (20+ min.)              ,"March 11, 2024"     ,https://www.youtube.com/embed/f9f8kRWuuv8
Tower of The Wedge's Vengeance              ,     11.54 ,Conraderien       ,Various Creators                 ,N/A                       ,Purism                              ,"Raw Difficulty, Punishment" ,Short (10+ min.)             ,"February 21, 2023"  ,https://www.youtube.com/embed/VJUgLl-9zNc
Steeple of Kyodai na Paul                   ,     11.53 ,Renzovanhooren    ,FusionZ_9                        ,N/A                       ,"Classic, Purism"                   ,Raw Difficulty               ,Very Short (5+ min.)         ,"September 24, 2024" ,https://www.youtube.com/embed/Aee6ox1IJHI
Tower of Thin Mints                         ,     11.52 ,Damjom            ,Lawnslayer                       ,The Eternal Abyss         ,"Client Objects, Technical"         ,Raw Difficulty               ,Long (20+ min.)              ,"January 9, 2023"    ,https://www.youtube.com/embed/mb4if8ZHob0
Tower of Punishing Runs                     ,     11.51 ,joelkoot          ,7oaad                            ,N/A                       ,"Client Objects, Linear"            ,"Raw Difficulty, Punishment" ,Short (10+ min.)             ,"June 2, 2024"       ,https://www.youtube.com/embed/_lQNhJaDlGQ
Tower of Jocundigluey                       ,     11.50 ,randyisbored      ,Cronku                           ,Scope 3 (CSCD)            ,"Technical, Purism"                 ,Raw Difficulty               ,Long (20+ min.)              ,"September 1, 2022"  ,https://www.youtube.com/embed/kION9mtkjFQ
Radio Tower                                 ,     11.49 ,joelkoot          ,OMG_Devs                         ,Plate 7 (TBP)             ,"Client Objects, Linear"            ,Raw Difficulty               ,Moderate (15+ min.)          ,"August 21, 2024"    ,https://www.youtube.com/embed/J_AEbrlusN4
Tower of Memory Leak                        ,     11.48 ,joelkoot          ,ToxicToChildren                  ,N/A                       ,"Purism, Technical"                 ,Raw Difficulty               ,Moderate (15+ min.)          ,"June 4, 2024"       ,https://www.youtube.com/embed/TsCmhzr9g0g
Tower of Fujiwara no Mokou                  ,     11.47 ,KosteSkaft23      ,laivure                          ,N/A                       ,"Low-Roof, Purism"                  ,Raw Difficulty               ,Short (10+ min.)             ,"April 28, 2024"     ,https://www.youtube.com/embed/tODCzM4ZTg8
Tower of Monumental Abyss                   ,     11.46 ,Marqulitt         ,ZePlayerSlayer                   ,Domain 1 (CTT)            ,"Jank, Purism"                      ,Raw Difficulty               ,Very Short (5+ min.)         ,"August 20, 2024"    ,https://www.youtube.com/embed/n8_mlaJjfvA
STONE Facility                              ,     11.45 ,skitsuna          ,IceNsalt                         ,Scope 2 (CSCD)            ,"Classic, Memory"                   ,"Raw Difficulty, Punishment" ,Long (20+ min.)              ,"September 1, 2023"  ,https://www.youtube.com/embed/fOoRGiTE79I
Tower of Monty Mole Mayhem                  ,     11.44 ,UnoLuno12         ,Spiker217                        ,N/A                       ,"Client Objects, Technical"         ,"Length, Raw Difficulty"     ,Long (20+ min.)              ,"March 12, 2023"     ,https://www.youtube.com/embed/gjgvwSqZva4
Tower of Live The Dream                     ,     11.43 ,joelkoot          ,retail88                         ,N/A                       ,"Purism, Linear"                    ,Raw Difficulty               ,Moderate (15+ min.)          ,"June 5, 2024"       ,https://www.youtube.com/embed/rVzcR1C014U
Tower of Pure Ability                       ,     11.42 ,vt_et             ,Various Creators                 ,N/A                       ,"Purism, Linear"                    ,Raw Difficulty               ,Long (20+ min.)              ,"May 21, 2024"       ,https://www.youtube.com/embed/nmto5eeLXNE
Citadel of Colorless Despair                ,     11.41 ,RagingBagon       ,XxDarkSnakeyesxX                 ,N/A                       ,"Purism, Linear"                    ,"Length, Punishment"         ,Very Long (30+ min.)         ,"May 22, 2024"       ,https://www.youtube.com/embed/fGIH7gMzqEU
Tower of Reproachful Eyewall                ,     11.40 ,llyaria           ,AAAAFanboy                       ,N/A                       ,Purism                              ,"Raw Difficulty, Punishment" ,Short (10+ min.)             ,"May 18, 2024"       ,https://www.youtube.com/embed/HcRDybJWccw
Tower of Descent Into Exile                 ,     11.39 ,1fren6            ,Various Creators                 ,Ring 8 (AToS)             ,Client Objects                      ,"Raw Difficulty, Punishment" ,Short (10+ min.)             ,"October 9, 2022"    ,https://www.youtube.com/embed/2UDU8tlGkWM
Tower of Necrotic Incantation               ,     11.38 ,Ureknia           ,t_azk                            ,Scope 2 (CSCD)            ,"Client Objects, Linear"            ,"Raw Difficulty, Punishment" ,Long (20+ min.)              ,"December 28, 2022"  ,https://www.youtube.com/embed/F9KL_Apkg2w
"Tower of Yeah, It's Pretty Empty Entirely" ,     11.37 ,bop1783           ,"Guest_34821, r_vki"             ,N/A                       ,"Purism, Linear"                    ,Raw Difficulty               ,Extremely Short (<5 min.)    ,"April 13, 2024"     ,https://www.youtube.com/embed/RR1Kk4lOgpo
Tower of Unorthodoxy                         ,     11.36 ,zeverion          ,Rag_nva                          ,Scope 3 (CSCD)            ,Purism                              ,"Raw Difficulty, Punishment" ,Short (10+ min.)             ,"April 28, 2024"     ,https://www.youtube.com/embed/fDj4bupByb8
Tower of Do Not Play                        ,     11.35 ,maximillian47     ,OMG_Devs                         ,N/A                       ,"Purism, Linear"                    ,Raw Difficulty               ,Very Short (5+ min.)         ,"November 6, 2024"   ,https://www.youtube.com/embed/7VxbY8Uv8hI
Tower of Disengaging Lunacy                 ,     11.34 ,mina_cious        ,shinryan12                       ,Regret's Cave (ZToA)      ,Purism                              ,Raw Difficulty               ,Short (10+ min.)             ,"January 1, 2024"    ,https://www.youtube.com/embed/Bua4vMaOM4U
Tower of Empty Meaningless Patterns         ,     11.33 ,ImPuffbawl        ,Heksi                            ,N/A                       ,"Client Objects, Experimental"      ,"Raw Difficulty, Punishment" ,Moderate (15+ min.)          ,"January 27, 2024"   ,https://www.youtube.com/embed/B_0n_4PREng
Tower of Un Ca                              ,     11.32 ,Hyperfantasies    ,go12345l                         ,N/A                       ,Purism                              ,Raw Difficulty               ,Short (10+ min.)             ,"June 3, 2024"       ,https://www.youtube.com/embed/vE3KEsnGhBQ
Tower of Otherworldly Expertise             ,     11.31 ,Crimzenith        ,Crimzenith                       ,The Eternal Abyss         ,"Classic, Purism"                   ,Raw Difficulty               ,Moderate (15+ min.)          ,"November 12, 2023"  ,https://www.youtube.com/embed/cdTXWPpCE80
Steeple of Coconut                          ,     11.30 ,47avaa            ,Forstaken2008xs                  ,N/A                       ,"Purism, Technical"                 ,Raw Difficulty               ,Very Short (5+ min.)         ,"May 28, 2023"       ,https://www.youtube.com/embed/NJXpJ_oSVIQ
Tower of Doubly Deadly Descent              ,     11.29 ,EGTVETHANGAMERTV3 ,"jimmy64z1, s_mietana"           ,N/A                       ,"Purism, Linear"                    ,"Raw Difficulty, Punishment" ,Very Short (5+ min.)         ,"September 27, 2024" ,https://www.youtube.com/embed/OjAa9rdZsVo
Tower of Wacky Truss Destruction            ,     11.28 ,BlueObbyMan       ,CrystalDesirezZ                  ,N/A                       ,"Client Objects, Technical"         ,Raw Difficulty               ,Short (10+ min.)             ,"April 30, 2024"     ,https://www.youtube.com/embed/oQoLpn2U6_E
Steeple of Benevolence                      ,     11.27 ,8seny             ,"sokol50, ilyashick"             ,N/A                       ,Purism                              ,Raw Difficulty               ,Very Short (5+ min.)         ,"October 6, 2024"    ,https://www.youtube.com/embed/3DW-wyipnXg
Tower of Centchade                          ,     11.26 ,nxyriia           ,Various Creators                 ,The Eternal Abyss         ,Classic                             ,"Raw Difficulty, Punishment" ,Very Short (5+ min.)         ,"September 21, 2024" ,https://www.youtube.com/embed/mHvtZ3VT1lY
Tower of Arduous Architecture               ,     11.25 ,MythIX            ,megabruhfart                     ,N/A                       ,Purism                              ,"Raw Difficulty, Punishment" ,Moderate (15+ min.)          ,"May 16, 2024"       ,https://www.youtube.com/embed/cJ6V5wsWhUM
Tower of Angled Passageways                 ,     11.24 ,dizzish           ,FireToast2                       ,N/A                       ,Mixed                               ,Punishment                   ,Moderate (15+ min.)          ,"June 17, 2024"      ,https://www.youtube.com/embed/hoimtp1p820
Steeple of Xei Pei Disagreement             ,     11.23 ,Kyruniko          ,FireToast2                       ,N/A                       ,Purism                              ,Raw Difficulty               ,Extremely Short (<5 min.)    ,"June 2, 2024"       ,https://www.youtube.com/embed/V4elsALQ3r8
Tower of Ruthless Royal Architecture        ,     11.22 ,Sliggaz           ,TheGracefulHobo                  ,Scope 1 (CSCD)            ,Mixed                               ,Punishment                   ,Long (20+ min.)              ,"December 19, 2022"  ,https://www.youtube.com/embed/pKqiaYoVgH0
Tower of Hectic Corridor                    ,     11.21 ,sikooo22          ,"Sagxtar, beiconti"              ,N/A                       ,Mixed                               ,"Raw Difficulty, Punishment" ,Short (10+ min.)             ,"October 23, 2024"   ,https://www.youtube.com/embed/ztvVp7oBl4c
Tower of Tortuous Oblivion                  ,     11.20 ,Cll0y             ,Heksi                            ,The Eternal Abyss         ,Technical                           ,"Raw Difficulty, Punishment" ,Very Short (5+ min.)         ,"July 1, 2022"       ,https://www.youtube.com/embed/AEDyi5mbqlQ
Steeple of Was Really Bored                 ,     11.19 ,8seny             ,subdermatoglyphy                 ,N/A                       ,"Purism, Jank, Experimental"        ,Raw Difficulty               ,Extremely Short (<5 min.)    ,"October 9, 2024"    ,https://www.youtube.com/embed/YipQWv56coI
Tower of Rove Culmination                   ,     11.18 ,HecateZoe         ,elusivveeee                      ,Ring 8 (AToS)             ,"Purism, Technical, Jank"           ,Raw Difficulty               ,Moderate (15+ min.)          ,"December 24, 2022"  ,https://www.youtube.com/embed/tI3bBTy2rd4
Tower of Light to Dark                      ,     11.17 ,microwavium       ,juk_n                            ,N/A                       ,"Purism, Jank"                      ,Raw Difficulty               ,Very Short (5+ min.)         ,"October 25, 2024"   ,https://www.youtube.com/embed/RUGXiDZpSMc
Tower of Gelidity                           ,     11.16 ,Pink_Amigo        ,Various Creators                 ,Scope 2 (CSCD)            ,Client Objects                      ,Raw Difficulty               ,Long (20+ min.)              ,"September 5, 2023"  ,https://www.youtube.com/embed/UhiG7j420OM
Tower of Fiend Massacre                     ,     11.15 ,MistakennJ        ,MistakennJ                       ,Domain 1 (CTT)            ,Purism                              ,"Raw Difficulty, Punishment" ,Moderate (15+ min.)          ,"September 19, 2023" ,https://www.youtube.com/embed/UHlCZYrIzGY
Tower of Quadrilaterals                     ,     11.14 ,MythIX            ,2147483647                       ,The Eternal Abyss         ,"Client Objects, Linear"            ,Raw Difficulty               ,Very Long (30+ min.)         ,"June 28, 2024"      ,https://www.youtube.com/embed/HAI6Hbr6j2c
Steeple of Repetitive Tries                 ,     11.11 ,BlissfulMonument  ,"lol234656, ilyashick, its_Rune" ,N/A                       ,"Purism, Linear"                    ,Raw Difficulty               ,Very Short (5+ min.)         ,"December 9, 2024"   ,https://www.youtube.com/embed/inKpwlQSDGE